centrality,dN/dy,dN/dy_err,low_yield_frac_%,low_yield_frac_err_%,<pT>_GeV/c,<pT>_err_GeV/c,chi2/ndf,A,A_err,T_GeV,T_err_GeV
0-5%,66.54403120358022,0.26120039483801755,3.995643788861874,0.025488733475301534,1.4417515016328464,0.007554151220073691,258.84713639362576,478.5771206862865,3.122442301146957,0.46852533614195413,0.0004001423694692497
5-10%,56.57346402256789,0.1769887377481292,3.998215865519998,0.020354929232640973,1.4412709962692685,0.006069616896393676,270.3129050951003,407.4394348891715,2.166384024805073,0.46835300628249643,0.00036314102196150996
10-20%,43.68965943676361,0.11826235958901207,3.998224072549124,0.01763180800719235,1.4412694637683414,0.005254307986863775,436.7633242866114,314.6522825064473,1.454833995992508,0.46835245665281344,0.000319413107794682
20-30%,31.291929919646737,0.09724325072049525,4.273885714867204,0.02229827039122172,1.3921907233974384,0.005813321935009331,264.6702358430406,261.05015890110917,1.547829932912628,0.45072053372785065,0.00043920356985824316
30-40%,21.628650841600887,0.07562654628570517,4.526807548434572,0.027236407070152003,1.3509782615587813,0.0063037426845601536,285.85836991302904,205.52567658771196,1.4832669273162913,0.4358672586600908,0.0005331560273971552
40-50%,14.0364136362952,0.062265607515713854,4.923560004065005,0.03812025107172515,1.2925659763974084,0.007606370356672728,210.8641784590088,162.32825217784242,1.5727122781716996,0.4147379241683476,0.0006829689551394593
50-60%,8.594775302966603,0.04369325466918402,5.480532934390168,0.049993030102422314,1.2211023265021044,0.008236715954213257,160.63855970428605,129.18257676896633,1.6042554813133763,0.3887593315547392,0.000855528629309787
60-70%,4.643331148564635,0.03704435020962569,5.983692125373643,0.08664887783445722,1.165010638221758,0.012261103925933024,94.04397869930965,87.44242176499951,1.799158636682809,0.36826608599006705,0.001328756191402776
70-80%,2.2320149158832394,0.020379586711664958,6.921877792683271,0.12014421756454165,1.0767532782922988,0.01319440120334203,51.95663076254931,62.568431458742985,1.790467270379299,0.3358324744642444,0.0017745274069839842
80-90%,0.8854735139598772,0.010208925924242551,8.146385742926856,0.18274542240548944,0.9847868100572079,0.015519882891925293,22.52066027628628,40.34917522004975,1.6932487355198775,0.3017887488964268,0.0023246928923384004
