centrality,chi2ndf_center,C_center,Cerr_center,T_center_GeV,Terr_center_GeV,n_center,nerr_center,chi2ndf_LW,C_LW,Cerr_LW,T_LW_GeV,Terr_LW_GeV,n_LW,nerr_LW
0-5%,188.1941609324356,78.4169694338423,0.382592199710783,0.5158853741389408,0.001684607156364648,50.39323121119886,1.674134748891671,186.17393637633484,78.42966814311899,0.3823343992364917,0.5161262800630195,0.0016657203022724665,52.307197511423766,1.7801690001436334
5-10%,179.5071427083761,65.64630387235161,0.2635078306768263,0.5178441812799902,0.0015373781328930636,51.61119469967544,1.587090352787996,177.04026030406706,65.64189994411305,0.2632365422581279,0.518360207165623,0.0015218655138006243,53.94491555487832,1.7126052170004584
10-20%,250.41091661795713,52.307302009332226,0.18133062765141852,0.4901791974644884,0.001393850362740423,32.08627383995408,0.5709172267330977,247.595515560638,52.290376026016695,0.18240156015309913,0.4909427171467599,0.0013903915694538915,33.05726499445554,0.6025825559139619
20-30%,162.55114068103487,39.11729268901299,0.16494602361090277,0.49069884669195807,0.0015013899727976676,34.84419392255046,0.7611505919695176,161.42308659111495,39.11250149072707,0.1626488136624754,0.49128812998650134,0.00146205795338325,35.99954685625728,0.7987519885323131
30-40%,148.461446698183,29.788219236551658,0.14038357683694913,0.4503470993741955,0.0015095102060134202,22.42916008845075,0.3387040742906109,147.95374134351223,29.782192887925785,0.1406593844100584,0.45096353602004857,0.00150087956057679,22.898107006960874,0.350372550634523
40-50%,88.4721146956308,21.911518580112464,0.12482111813326725,0.40549712407246047,0.0014890334368952707,16.63585046757555,0.19681595635877436,88.38410671063355,21.90723907290218,0.13254564170251423,0.40603762063804605,0.0016731759493556486,16.877428922000142,0.22446152890805848
50-60%,41.174271180280364,15.306269108956123,0.11003165009653038,0.3661639034704061,0.0017166040916389846,13.28374714831475,0.14811476730534157,41.17234055105933,15.304936794320675,0.10947045331171032,0.36654620561975954,0.0017148781693996917,13.417192269786511,0.1508395328476908
60-70%,14.800377140681773,9.874030545197385,0.11086062048557976,0.31862717856756384,0.0022764420740077618,10.883264031142396,0.13358758212673028,14.847109372054755,9.875323673665271,0.11088900064426384,0.31883148197531125,0.002278608887235495,10.954968478811743,0.13563107759865733
70-80%,4.2907293948350755,5.519144684223626,0.07756707751949253,0.28714505148583214,0.002622700485254731,9.791126690929989,0.13286569476234256,4.323812450933317,5.521614915597963,0.07761294285927936,0.28716186115627274,0.002624376346245627,9.836626151179667,0.13439916253346773
80-90%,2.0135453374468524,2.5489146754743337,0.04942883868274071,0.25630963078650065,0.0033172578361254645,9.05016166635018,0.1622920129160983,2.0111476157110624,2.550351653958233,0.049449101761190495,0.2562892401937039,0.003316469841162323,9.083796449946028,0.16365616437381014
