centrality,chi2ndf_boltz,dNdy_boltz,dNdy_err_boltz,lowfrac_boltz,lowfrac_err_boltz,meanpT_boltz,meanpT_err_boltz,T_boltz,T_err_boltz,A_boltz,A_err_boltz,chi2ndf_tsallis,dNdy_tsallis,dNdy_err_tsallis,lowfrac_tsallis,lowfrac_err_tsallis,meanpT_tsallis,meanpT_err_tsallis,T_tsallis,T_err_tsallis,n_tsallis,n_err_tsallis,C_tsallis,C_err_tsallis,cent_mid
0-5%,258.84713639362576,66.54403120358022,0.2612003948380175,3.995643788861874,0.0254887334753015,1.4417515016328464,0.0075541512200736,0.4685253361419541,0.0004001423694692,478.5771206862865,3.122442301146957,188.1941609324356,60.89768460394685,0.2346091071812529,5.537658196630725,0.0340706747707723,1.3112418968876438,0.0073512003675477,0.5158853741389408,0.0016846071563646,50.39323121119886,1.674134748891671,78.4169694338423,0.382592199710783,2.5
5-10%,270.3129050951003,56.57346402256789,0.1769887377481292,3.998215865519998,0.0203549292326409,1.4412709962692685,0.0060696168963936,0.4683530062824964,0.0003631410219615,407.4394348891715,2.166384024805073,179.5071427083761,51.20176744797113,0.1649696984053547,5.5146229287599855,0.0280663614833089,1.3139873698104187,0.0063167729017043,0.5178441812799902,0.001537378132893,51.61119469967544,1.587090352787996,65.64630387235161,0.2635078306768263,7.5
10-20%,436.7633242866114,43.68965943676361,0.118262359589012,3.998224072549124,0.0176318080071923,1.4412694637683414,0.0052543079868637,0.4683524566528134,0.0003194131077946,314.6522825064473,1.454833995992508,250.41091661795716,38.66595894606432,0.111691301028553,5.804084522441441,0.0258640030737626,1.287847795489703,0.0056892668701614,0.4901791974644884,0.0013938503627404,32.08627383995408,0.5709172267330977,52.30730200933223,0.1813306276514185,15.0
20-30%,264.6702358430406,31.291929919646737,0.0972432507204952,4.273885714867204,0.0222982703912217,1.3921907233974384,0.0058133219350093,0.4507205337278506,0.0004392035698582,261.0501589011092,1.547829932912628,162.55114068103487,28.82976547852455,0.0896891391641869,5.821675747096257,0.0300876076304774,1.28253191748255,0.0058541973369144,0.490698846691958,0.0015013899727976,34.84419392255046,0.7611505919695176,39.11729268901299,0.1649460236109027,25.0
30-40%,285.85836991302904,21.628650841600887,0.0756265462857051,4.526807548434572,0.027236407070152,1.350978261558781,0.0063037426845601,0.4358672586600908,0.0005331560273971,205.525676587712,1.4832669273162913,148.461446698183,20.116731020889556,0.0691972378206921,6.326790397153721,0.0363675055035307,1.2377853552851166,0.0061843401780561,0.4503470993741955,0.0015095102060134,22.42916008845075,0.3387040742906109,29.788219236551654,0.1403835768369491,35.0
40-50%,210.8641784590088,14.0364136362952,0.0622656075157138,4.923560004065005,0.0381202510717251,1.2925659763974084,0.0076063703566727,0.4147379241683476,0.0006829689551394,162.32825217784242,1.5727122781716996,88.4721146956308,13.226884439006232,0.0568581463252907,7.038231269934661,0.0495450266812766,1.1775249398383894,0.0072225631689558,0.4054971240724604,0.0014890334368952,16.63585046757555,0.1968159563587743,21.911518580112464,0.1248211181332672,45.0
50-60%,160.63855970428605,8.594775302966603,0.043693254669184,5.480532934390168,0.0499930301024223,1.2211023265021044,0.0082367159542132,0.3887593315547392,0.0008555286293097,129.18257676896633,1.6042554813133765,41.17427118028037,8.299367231890766,0.0404639425112625,7.788323196930916,0.0663671416119795,1.1235839234971643,0.0077361452480169,0.3661639034704061,0.0017166040916389,13.28374714831475,0.1481147673053415,15.306269108956124,0.1100316500965303,55.0
60-70%,94.04397869930963,4.643331148564635,0.0370443502096256,5.983692125373643,0.0866488778344572,1.165010638221758,0.012261103925933,0.368266085990067,0.0013287561914027,87.44242176499951,1.799158636682809,14.800377140681771,4.603010784230026,0.0340537668847395,8.97522459468019,0.1179824086901136,1.04688088837104,0.0108819054951448,0.3186271785675638,0.0022764420740077,10.883264031142396,0.1335875821267302,9.874030545197384,0.1108606204855797,65.0
70-80%,51.95663076254931,2.2320149158832394,0.0203795867116649,6.921877792683271,0.1201442175645416,1.0767532782922988,0.013194401203342,0.3358324744642444,0.0017745274069839,62.568431458742985,1.790467270379299,4.290729394835076,2.293048096601134,0.0197181659630217,9.992338740771345,0.1600083093120848,0.9894702298006663,0.0118933538140157,0.2871450514858321,0.0026227004852547,9.791126690929987,0.1328656947623425,5.519144684223626,0.0775670775194925,75.0
80-90%,22.52066027628628,0.8854735139598772,0.0102089259242425,8.146385742926856,0.1827454224054894,0.984786810057208,0.0155198828919252,0.3017887488964268,0.0023246928923384,40.34917522004975,1.6932487355198775,2.0135453374468524,0.9307834446330446,0.0103139447624082,11.261908480968122,0.242755689804434,0.925512254438336,0.0142434977610191,0.2563096307865006,0.0033172578361254,9.05016166635018,0.1622920129160983,2.5489146754743337,0.0494288386827407,85.0
